_q AllWISE RAJ2000 DEJ2000 Im W1mag e_W1mag W2mag e_W2mag W3mag e_W3mag W4mag e_W4mag Jmag e_Jmag Hmag e_Hmag Kmag e_Kmag ccf ex var pmRA e_pmRA pmDE e_pmDE qph d2M _2M
23 J140225.47+542716.2 210.6061642 54.4545012 Im 16.100 0.053 15.554 0.090 11.415 0.126 8.613 0.326 "" "" "" "" "" "" 0000 0 1nnn -910 458 -1223 483 AABB "" 2M
25 J140411.14+542518.7 211.0464429 54.4218794 Im 14.698 0.030 14.154 0.038 9.832 0.042 6.445 0.069 16.803 0.175 15.709 "" 14.789 "" 0000 0 nnnn 803 295 1733 286 AAAA 0.856 2M
26 J140411.14+542518.7 211.0464429 54.4218794 Im 14.698 0.030 14.154 0.038 9.832 0.042 6.445 0.069 16.803 0.175 15.709 "" 14.789 "" 0000 0 nnnn 803 295 1733 286 AAAA 0.856 2M
27 J140218.10+542224.2 210.5754448 54.3734022 Im 16.876 0.094 16.865 0.276 11.633 0.173 8.788 0.377 "" "" "" "" "" "" 0000 2 nnnn 929 998 -1972 1048 ABBC "" 2M
28 J140233.07+542531.9 210.6378087 54.4255524 Im 16.082 0.050 15.850 0.113 11.332 0.124 8.746 0.366 "" "" "" "" "" "" 0000 2 0nnn -1054 486 543 507 ABBC "" 2M
29 J140221.04+542145.9 210.5876933 54.3627592 Im 15.833 0.053 15.328 0.075 10.960 0.093 8.412 0.237 "" "" "" "" "" "" 0000 2 000n 0 485 0 507 AAAB "" 2M
30 J140222.03+542156.5 210.5918306 54.3657200 Im 16.455 0.073 16.371 0.176 11.579 0.169 8.501 0.267 "" "" "" "" "" "" 0000 2 0nnn 2195 732 423 773 ABBB "" 2M
31 J140429.22+542348.2 211.1217690 54.3967266 Im 13.348 0.025 12.649 0.024 7.816 0.017 4.129 0.023 15.897 0.106 15.703 0.180 15.071 0.144 0000 5 1100 7 46 27 48 AAAA 2.126 2M
35 J140211.03+541830.0 210.5459700 54.3083400 Im 16.571 0.072 16.266 0.160 12.981 0.529 8.609 "" "" "" "" "" "" "" 0000 0 1nnn 190 711 -720 753 ABCU "" 2M
36 J140432.08+542525.6 211.1336699 54.4237837 Im 16.554 0.061 15.978 0.118 12.046 0.229 9.135 0.456 "" "" "" "" "" "" 0000 0 0nnn 421 644 -356 678 ABBC "" 2M
38 J140341.24+542423.6 210.9218749 54.4065659 Im 15.891 0.053 15.459 0.092 11.103 0.115 8.828 0.399 "" "" "" "" "" "" 0000 2 1n0n 839 465 420 473 AABC "" 2M
39 J140220.04+542312.8 210.5835000 54.3869027 Im 16.379 0.061 16.030 0.126 11.741 0.196 8.784 0.352 "" "" "" "" "" "" 0000 2 0nnn 604 601 435 629 ABBB "" 2M
40 J154630.80+460007.0 236.6283610 46.0019646 Im 15.596 0.143 14.853 0.146 9.943 0.090 6.647 0.050 "" "" "" "" "" "" 0000 0 nnn0 -430 375 -348 512 BBAA "" 2M
41 J095021.04+312913.0 147.5876923 31.4869504 Im 15.911 0.058 15.553 0.113 11.735 0.252 7.730 0.167 "" "" "" "" "" "" 0000 0 1nnn -1656 526 -112 578 ABBB "" 2M
42 J184141.88+651158.4 280.4245236 65.1995574 Im 15.666 0.031 14.695 0.035 11.257 0.064 9.569 "" "" "" "" "" "" "" 00P0 0 00nn 252 203 112 193 AAAU "" 2M
43 J124356.74+321012.7 190.9864341 32.1702167 Im 13.264 0.027 12.775 0.028 8.081 0.019 4.357 0.030 15.895 0.094 15.726 0.165 15.395 0.168 0000 3 0012 552 60 -18 63 AAAA 1.457 2M
44 J161623.51+470202.7 244.0979693 47.0341063 Im 16.148 0.047 15.640 0.083 11.910 0.140 8.197 0.131 "" "" "" "" "" "" 0000 0 0nnn 356 364 -492 392 AABB "" 2M
45 J102920.95+682838.2 157.3373196 68.4772844 Im 17.097 0.101 17.187 0.377 12.098 "" 8.783 "" "" "" "" "" "" "" 0000 0 nnnn 731 1234 322 1284 ACUU "" 2M
46 J102843.93+682825.9 157.1830503 68.4738766 Im 14.815 0.043 14.225 0.042 10.951 0.110 7.147 0.095 "" "" "" "" "" "" 0000 0 1110 -104 132 910 137 AABA "" 2M
47 J072842.80+691121.6 112.1783652 69.1893514 Im 12.722 0.024 11.578 0.022 6.264 0.013 2.950 0.027 15.361 0.101 15.245 0.169 14.628 0.125 0000 3 00nn 1067 42 -450 43 AAAA 0.486 2M
49 J101843.13+460302.7 154.6797180 46.0507632 Im 15.192 0.035 14.444 0.048 10.039 0.051 6.541 0.065 "" "" "" "" "" "" 0000 0 0000 -390 258 -350 270 AAAA "" 2M
51 J122846.57+431346.3 187.1940758 43.2295292 Im 16.252 0.060 15.594 0.104 12.099 0.313 8.303 0.252 "" "" "" "" "" "" 0000 0 1nnn 58 603 94 648 AABB "" 2M
52 J122843.03+431433.4 187.1792955 43.2426204 Im 17.142 0.120 16.656 0.263 12.208 "" 8.944 "" "" "" "" "" "" "" 0000 0 nnnn 1499 1382 1343 1486 BBUU "" 2M
53 J082555.51+353233.0 126.4813056 35.5425187 Im 16.145 0.064 15.738 0.143 12.353 0.470 8.256 0.300 "" "" "" "" "" "" 0000 0 0nnn 863 619 1789 690 ABCB "" 2M
54 J144411.57+423735.6 221.0482407 42.6265579 Im 15.722 0.040 15.251 0.074 11.604 0.170 8.071 0.166 "" "" "" "" "" "" 0000 0 00nn 0 268 0 281 AABB "" 2M
